morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,dialect,combination,root,rootNb,rootType,END
qaurrit,,1,v,t,,,,,,,si/1vv,"[T]to knick s.t. (hand, arm, leg, etc.); to knock a piece of flesh out of s.t.[P]to be knicked (hand, arm, leg, etc.); to be knocked a piece of flesh out of[R]to knick oneself (hand, arm, leg, etc.); to knock a piece of one's own flesh","[T]arracher une morceau de peau de qqch. (main, bras, jambe, etc.)[P]avoir un morceau de peau arrach�e (main, bras, jambe, etc.)[R]s'arracher un morceau de peau (main, bras, jambe, etc.)",,,qauq,1,v,.
qiaksuk,,1,v,i,,,,,,,,"to howl, speaking of the wind","hurler, en parlant du vent",,,qia,1,v,.
qikturiaq,,1,v,i,,,,,,,,"to bite, speaking of mosquito","piquer, en parlant d'un moustique",,,qikturiaq,1,n,.
qikuktuq,,1,v,t,,,,,,,i/1vv,[-R]to /fuel s.t. (a stove or a fire),[-R]/alimenter qqch. (un four ou un feu),,,qijuk,1,n,.
qinugi,,1,v,t,,,,,,,,to be impatient with or tired of the one begging for s.t. which is refused,�tre impatient ou fatigu� envers quelqu'un qui demande quelque chose qu'on lui refuse,,,qinu,1,v,.
qiqit,,1,v,i,,,,,,,,"to freeze, speaking of a member or body part","geler, en parlant d'un membre ou d'une partie du corps",,,qiqi,1,v,.
qirnaksi,,1,v,i,,,,,,,,"to begin, speaking of the cold weather","commencer, en parlant du temps froid",,,qiqi,1,v,.
qirraq,,1,v,i,,,,,,,,to die from freezing or exposure,mourir de froid,,,qiqi,1,v,.
quajaqit,,1,v,i,,,,,,,,to slip on a slippery surface,glisser sur une surface glissante,,quajaq/1+?,,,,.
quarsaq,,1,v,i,,,,,,,,to freeze emotionally; to faint,"geler �motivement; se sentir mal, d�faillir",,quaq/1v+saq/1vv,,,,.
quarta,,1,v,i,a,,,,,,,to have itchiness of the anus or rectum because of intestinal worms,avoir des d�mangeaisons � l'anus ou au rectum � cause de vers intestinaux,,quartaq/1n+?,,,,.
qubviuq,,1,v,i,a,,,,,,,to have watering eyes from smarting or irritation,"avoir les yeux humides d� � l'irritation ou � la douleur ou la fum�e, etc.",,qubvik/1n+?,,,,.
qujannamiiq,,1,v,i,,,,,,nil,,to thank s.o.,"remercier, �tre reconnaissant",,quja/1v+naq/1vv+?,,,,.
qulaaq,,1,v,i,,,,,,gi/4vv,,to doubt someone or something,douter de quelqu'un ou de quelque chose,,,qula,1,v,.
saat,,2,v,t,,,,,,,si/1vv,[T]to turn to face s.o. or s.t.[P]to be turned toward as to be faced,[T]se tourner vers qqn ou qqch. pour lui faire face[P]�tre dans l'�tat de qqn ou qqch. vers qui on se tourne pour lui faire face,,,saa,1,n,.
sanngniq,,1,v,i,a,,,,,,,to have one's body or muscles stiff and sore from physical exertion,avoir le corsp ou les muscles raides et endoloris � cause de l'effort,,,sanngi,1,v,.
sarrut,,1,v,i,,,,,,nil,,to go around the front of s.t.,faire le tour devant qqch.,,,saa,1,n,.
sirmiaq,,1,v,t,,,,,,,ri/1vv,[-R]to /cement s.t. with dampened snow,"[-R]/cimenter, /sceller qqch. avec de la neige humect�e",,sirmiq/1n+aq/2nv,,,,.
sungu,,1,v,i,a,,,,,,,to be bilious; to be sick from rich or fatty food,avoir de la bile; �tre malade � cause de nourriture trop riche et grasse,,,sungaq,1,n,.
supuaq,,1,v,i,,,,,,,,to puff or exhale air - said of a sea mammal,"souffler ou expirer l'air, en parlant d'un mammif�re marin",,,supi,1,v,.
supuugaq,,1,v,i,,,,,,,,"to play the mouth-organ, or harmonica [N. Baffin]",jouer de l'harmonica (Baffin nord),,,supi,1,v,.
supuuq,,1,v,i,,,,,,nil,,to blow at or on s.t. over an extended period of time,souffler sur quelque chose pendant une longue p�riode de temps,,,supi,1,v,.
surpalak,,1,v,i,,,,,,,,"to purr, to putt-putt - said of a motor","ronronner, en parlant d'un moteur",,,surpalak,1,n,.
taimait,,1,v,i,a,,,,,,,"to be like that, like the one shown or described (S. Baffin; ECHB)","�tre comme �a, comme celui montr� ou d�crit (Baffin nord; c�te ouest Baie d'Hudson)",,taima/1a+it/3nv,,,,.
taimannait,,1,v,i,a,,,,,,,"to be like that, like the one shown or described (N. Baffin; WCHB)","�tre comme �a, comme celui montr� ou d�crit (Baffin nord; c�te ouest Baie d'Hudson)",,taimanna/1a+it/3nv,,,,.
taitaq,,1,v,t,,,,,,,,[-R]to /spell s.t.,[-R]/�peller qqch.,,,tai,1,v,.
tapit,,1,v,t,,,,,,,si/1vv,[-R]to /take or /get or /kill s.t. (two or more) at the same time,[-R]/attraper ou /tuer qqch. (deux ou plus) en m�me temps,,tapi/?+t/1vv,,,,.
tarrijaq,,1,v,i,,,,,,,,to attend or watch a movie,regarder un film,,,tarraq,1,n,.
tatamnak,,1,v,i,a,,,,,,,to be astonishing or wonderful; miraculous,"�tre �tonnant, surprenant, merveilleux; miraculeux",,,,,,.
tigumiaq,,1,v,i,,,,,,nil,,to hold something in one's hands or arms,tenir quelque chose dans les mains ou les bras,,,tigu,1,v,.
tikkuaq,,1,v,i,,,,,,nil,,to point at something,la pointe de quelque chose,,,tikiq,1,n,.
tikkuq,,1,v,i,a,,,,,,,to be straight,�tre droit,,,tikiq,1,n,.
tiksa,,1,v,i,,,,,,,,to erect - said of man's penis,�tre en �rection - en parlant du p�nis de l'homme,,,tikiq,1,n,.
